No,Name,UEN,Short Intro,Date incorporated,Sector,Funding Stage,Employee range,Tags,Description,Address,Website,Emails,Phone,Team,Funding Stage,Total Funding,Funding Rounds,Rounding Raised
1165,iColumn,UEN 200911135M,Digital Marketing Agency,19 June 2009,"Adtech, Others",Pre-seed,11 - 50 employees,,"iColumn stands out as a innovative digital agency committed to delivering the finest solutions for clients. Based in Singapore, iColumn has also established offices in China serving diverse clients across various industries. They also provide unique marketing insights, leveraging on their technological expertise to correctly pinpoint answers in every complex situation.","THE CRESCENT @ KALLANG 47 KALLANG PUDDING ROAD, #10-14, Singapore 349318",http://www.icolumn.com, ,+65 66361186,"Jason Cheong,Chief Executive Officer (CEO);Jessie Cheong",Pre-seed,—,—, 
1166,ICOMMERCE ASIA PRIVATE LIMITED,UEN 201604842Z,eCommerce Supply Chain Solutions provider,26 February 2016,Supply Chain & Logistics,Pre-series A,11 - 50 employees,E-Commerce;Supply Chain & Logistics,"iCommerce Asia is an integrated eCommerce Supply Chain Solutions Partner founded in April 2016. The company offers innovative, intelligent and integrated end-to-end solutions which support and manage all the different sales channel from eCommerce to Omni-Channel with high focus on customer experience and service. iCommerce has the resources to build solutions that ease the e-commerce process through enabling clients’ eCommerce channels to their fullest potential and providing a seamless process.","27 GREENWICH DRIVE, #-, Singapore 533912",http://www.icommerce.asia/,hello@icommerce.asia,+65 6871 8717, ,Pre-series A,USD 1.4M,1,"14 Dec 2016,USD 1.4M,Pre-series A,Cooper McGuire, Harry Markl, Janifer  Yeo-Tan, Ismail Shariff, Aaron Tan(5)"
1167,ICOMTECH LLP,UEN T13LL2247C,IT Solutions Provider,25 November 2013,Infotech,Pre-seed,—,,ICOMTECH LLP provides a complete suite of IT solutions to secure IT solutions for your business and market needs.,"ENTERPRISE HUB 48 TOH GUAN ROAD EAST, #07-146, Singapore 608586",https://www.icomtech.sg/,welcome@iComTech.sg,+65 6515 8906, ,Pre-seed,—,—, 
1168,iCONZ,UEN 201308202R,Digital Marketing,28 March 2013,"Adtech, Infotech",Pre-seed,—,,"Iconz Pte Ltd was founded in year 2013 in Singapore. They are a team of digital marketing specialists in Search Engine Optimization (SEO), Google Adwords PPC, Social Media Marketing, Email Direct Marketing, Web Design & Development, Web hosting and Customer Relationship Management.","HENG LOONG BUILDING 61 BUKIT BATOK CRESCENT, #04-01F, Singapore 658078",https://www.iconz.com.sg,enquiry@iconz.com.sg,+65 67744889, ,Pre-seed,—,—, 
1169,ICOSYS PTE. LTD.,UEN 201542005C,bring leading edge technology and proven method,1 December 2015,Infotech,Pre-seed,1 - 10 employees,,"To bring leading edge technology and proven methodologies to companies, and create greater productivity and sustainable inclusiveness by digitizing processes, uniting communities, and ​enriching continuous learning.","354 KANG CHING ROAD, #03-27, Singapore 610354",http://www.icosys.com.sg,support@icosys.com.sg, , ,Pre-seed,—,—, 
1170,ICREATE ERA,UEN 200912713H,—,14 July 2009,—,Pre-seed,—,, ,"PICO CREATIVE CENTRE 20 KALLANG AVENUE, #05-00, Singapore 339411", , , , ,Pre-seed,—,—, 
1171,iCreationsLab,UEN 200823298D,Web Design & Development Service Provider,18 December 2008,Infotech,Pre-seed,11 - 50 employees,,"iCreationsLab is a Singapore web design company specialising in Customized Website Design, Mobile Web Design, E-Commerce (online shopping cart), CMS(Content Management System), Print Design(Namecard, Flyers and other Print Collaterals), Email Marketing(edm design and email broadcast), SMS Marketing and Online Marketing strategies.","186 WOODLANDS INDUSTRIAL PARK E5, #03-01M, Singapore 757515",http://www.icreationslab.com/,enquiry@icreationslab.com,+65 62699558, ,Pre-seed,—,—, 
1172,ICREO PTE. LTD.,UEN 201417743R,Mobile App Developer,18 June 2014,Media,Pre-seed,—,Entertainment,"ICREO PTE. LTD. is the developer of the live-streaming phenomenon app, beLive - a Mediacorp partner, and Singapore's premiere social live video platform. It enables users to get a shot at stardom with their live broadcasts.BeLive enables users to express themselves by sharing live moments with their friends and fans and become the top livestreamer. Users can also follow other live shows and get notified when they go live, send and exchange virtual gifts with their favourite people, and make new friends. Users can stream anything from talent shows, performances, parodies, live action, parkour, makeup tips, fashion tips or simply chat with their fans.","71 AYER RAJAH CRESCENT, #03-01, Singapore 139951",http://belive.sg/,support@belive.sg, ,"Josiah Humphrey,Co-founder;Mark McDonald,Co-founder;Esther Humphrey,Co-founder",Pre-seed,—,—, 
1173,ICS Mutlimedia,UEN 201118441R,Information technology & services provider,3 August 2011,Infotech,Pre-seed,11 - 50 employees,Infotech,"ICS is incorporated in Singapore in 2011. ICS is an Australian software development company, specialising in enterprise software for organisations involved in the management, measurement and planning of complex data sets and processes.The ICS Tracker platform is used for the analysis, tracking and management of Natural, Operational and Intellectual assets and their associated cost and maintenance. All of their software is extendable via web services to custom applications on the iOS, Android and Windows Phone platforms.","11 BLAIR ROAD, #-, Singapore 089911",http://www.icsmultimedia.com.au,info@icsmultimedia.com.au,+61 362233559, ,Pre-seed,—,—, 
1174,Ideacracker,UEN 201812315N,Furniture Crowdfunding Platform,11 April 2018,Lifestyle,Pre-seed,1 - 10 employees,Platform;Lifestyle,"IdeaCracker is a global crowdfunding platform that specialises in furniture and offers manufacturing expertise to designers who are unable to source for their own manufacturers. IdeaCracker welcomes community contributors to design, create and commercialise furniture. Having established a partnership with a furniture manufacturer, IdeaCracker provides an avenue for potential designers to take their designs and ideas to the next stage of development. The company challenges the traditional system of designing and aims to harness the creativity of community designers to develop innovative designs for consumers. ","BLK 71 71 AYER RAJAH CRESCENT, #03`-03-25, Singapore 139951",https://www.ideacracker.com/,nicholas@ideacracker.com, , ,Pre-seed,—,—, 
1175,Ideaken,UEN 200922225H,Innovation Provider,27 November 2009,"Precision Engineering, Medtech, Retail, Telecom, Real Estate, Pharmaceutical, Travel & Hospitality, Supply Chain & Logistics, Urban Solutions, Nanotechnology, Others",Pre-seed,—,,Connects businesses and individuals with innovative experts across the world.,"MANDARIN GARDENS 3 SIGLAP ROAD, #03-28, Singapore 448907",http://www.ideaken.com/,contact@ideaken.com, ,"Jayesh Badani,Founder, Chief Executive Officer (CEO);Madhu Mani",Pre-seed,—,—, 
1176,IDEAS N CONCEPTS PTE. LTD.,UEN 201524281E,Website Designer,27 May 2015,Infotech,Pre-seed,1 - 10 employees,,"Ideas N Concepts provides a website design kit that allows desin of website with ease.Other services include mobile application development, branding and marketing.","66 DUNLOP STREET, #-, Singapore 209394",http://www.ideasnconcepts.com/,info@ideasnconcepts.com,+65 62975875, ,Pre-seed,—,—, 
1177,IDEE INFOCOM,UEN 200919057R,Web-based User-Friendly GPS Vehicle Tracking,12 October 2009,Infotech,Pre-seed,1 - 10 employees,,"iDee InfoCom as a solution provider is their ability to understand their customer needs and provide them with a Total Solution incorporating Wireless and Radio Frequency Technology. Beyond the above, iDee InfoCom also provides a full spectrum of Automation solutions for Meter Reading, RFID, Field Service, Barcoding and more","EUNOS TECHPARK 60 KAKI BUKIT PLACE, #10-15, Singapore 415979",http://idee.sg,info@idee.sg,+65 62936461,"Bajiru Deen,Chief Technology Officer (CTO)",Pre-seed,—,—, 
1178,Identifi,UEN 201026066Z,Cloud Based Solutions,9 December 2010,Infocomm Tech,Pre-seed,1 - 10 employees,,"IDENTIFI provides organizations with cloud based solutions to manage their Human Resource functions and employee careers. Solutions range from pre-employment assessments to building developmental plans for existing employees. Their data driven approach enables organizations to leverage their raw talent data to make better hiring, talent development and deployment decisions.","TOWER FIFTEEN 15 HOE CHIANG ROAD, #26-02, Singapore 089316",https://www.identifi.com/,support@identifi.com,+65 68714111,Usman Sheikh,Pre-seed,—,—, 
1179,IDISPLAY SYSTEMS,UEN 201003656H,In-Store/Indoor Engagement platform,19 February 2010,—,Pre-seed,—,,"iDisplay Systems is a Singapore based company setup with the objective of building in-store/indoor engagement platform leveraging multi-media display equipment, mobile, cloud and big data analytics technologies.","ANN SIANG 47 47 ANN SIANG ROAD, #05-01, Singapore 069720",http://idisplaysystems.com/,sales@idisplaysystems.com, , ,Pre-seed,—,—, 
1180,IDSG ENGINEERING & TRADING PTE. LTD.,UEN 201308340Z,Bicycle Company,30 March 2013,—,Pre-seed,—,,MC2 is a Multi-Configuration Cycle.,"2 CLEANTECH LOOP, #04-13, Singapore 637144",http://www.mc2bike.com/index.html,CJ@MC2bike.com, , ,Pre-seed,—,—, 
1181,Ifin technology,UEN 201010588D,ICT Services & Consulting provider,17 May 2010,Infotech,Pre-seed,—,,"IFIN Technology is a  singapore-based startup company (incorporated since 2010) that offer innovative, customised, reliable and cost-efficient IT solutions to customers.","FAR EAST FINANCE BUILDING 14 ROBINSON ROAD, #08-01A, Singapore 048545",http://www.ifintech.com/,support@ifintech.com,+65 66552009, ,Pre-seed,—,—, 
1182,IFSC PTE. LTD.,UEN 201607084E,Integrated Solution Provider of Facility services,18 March 2016,Cleantech,Pre-seed,1 - 10 employees,,"Integrated Facilities Services Consulting (IFSC), is a technology innovation company providing advanced integrated solutions for the facilities services industry. IFSC is dedicated to transforming the way urban facilities are managed through the integrated use of human resources, process, technology and change management. Specifically, IFSC provides services such as Cleaning Robotics, FM Software, Food Waste Solutions, Degreaser Solutions, Workforce Smart Watch as well as Consultancy Services as part of providing next-generation solutions that help to keep facilities clean, functional and secure. To this end, IFSC uses data-driven optimisation heuristics to provide continuous insight into how an urban efficient, facility can be holistically managed in an efficient, reliable and sustainable way. ","53 NIVEN ROAD, #-, Singapore 228401",https://www.ifsc.sg,enquiries@ifsc.sg,+65 9186 6058, ,Pre-seed,—,—, 
1183,iGAP,UEN 201202972E,Innovative glass solution provider,8 February 2012,Manufacturing & Engineering,Pre-seed,11 - 50 employees,Manufacturing & Engineering,"iGAP is a leader in innovative glass solution to reflect tomorrow’s needs made available today. The company is continuously changing the idea of what glass should be by continuing to expand the application of their range of dynamic glass solutions.iGAP's proven experience in dynamic glass enables them to provide a peace of mind to customer in all the stages of turnkey project: design and architecture, custom glass manufacturing, mechanical and electrical engineering, installation, as well as performance monitoring and management.iGAP is committed to reflect their creativity, innovation, and service commitment in everything they do, consistently enabling people to optimize and enjoy their physical environment.","CAPITAGREEN 138 MARKET STREET, #24-01, Singapore 048946",http://igap.sg/,info@igap.sg,+65 63683578, ,Pre-seed,—,—, 
1184,IGIVE PTE. LTD.,UEN 201717538Z,Sharing economy social enterprise,22 June 2017,Others,Pre-seed,1 - 10 employees,,"iGive is a social enterprise promoting a sharing economy. The company is implementing a community digital time currency called the “ iGive Credits”, where members in a community can earn iGive credits by helping other members in terms of voluntary work, such as preparing home cooked food, giving tuition, coaching on sports or other skills, taking care of elderly / children, lending items and volunteering their services to communities, charities and schools, etc. Based on the amount of time contributed, members can receive iGive credits. These credits can then spent when they request help from other members. The members can also choose to donate their credits to the needy as a form of charity. ","INTERNATIONAL PLAZA 10 ANSON ROAD, #10-10-11, Singapore 079903",https://igive.sg/, , , ,Pre-seed,—,—, 
1185,IGLOOHOME PTE. LTD.,UEN 201528946R,—,14 July 2015,"Real Estate, Travel & Hospitality, Lifestyle",Series A,1 - 10 employees,Real Estate;Travel & Hospitality, ,"75 AYER RAJAH CRESCENT, #03-11, Singapore 139953",https://www.igloohome.co/,info@igloohome.co,+65 3159 1352,"Anthony Chow,Co-founder, Chief Executive Officer (CEO);Kelvin Ho Khee Kien,Co-founder, Chief Technology Officer (CTO);Kenny Wang,Chief Operations Officer (COO)",Series A,USD 5.3M,2,"4 Apr 2018,USD 4.0M,Series A,X Capital Ventures, Insignia Ventures Partners, Phillip Private Equity, Boon Hwee Koh, Kuok Meng Xiong(5);17 Dec 2015,USD 1.3M,Seed,Wavemaker Partners, DreamIt Ventures, Singtel Innov8, Mesh Ventures(4)"
1186,IHEALTH INNOVATION PRIVATE LIMITED,UEN 201332941N,Health Information Technology Solutions Provider,6 December 2013,"Medtech, Healthcare",Pre-seed,1 - 10 employees,Digital Health;Healthcare,"iHealth Innovative Solutions (iHealth) is a professional services Health Information Technology organization committed to assisting clients in delivering innovative technology solutions to help transform patient care, health information technology and health intelligence. iHealth Innovation develops systems that monitor personal wellness through pulse diagnosis in TCM, supported by the company's ability to execute and provide assistance and guidance on the use of technology-supported business processes, such as reengineering; investment analysis; performance measurements, and the strategic application development of information systems and infrastructure resources.","INTERNATIONAL PLAZA 10 ANSON ROAD, #26-04, Singapore 079903",https://www.ihealth-innovation.com/,ckthum@ihealth-innovation.com,+65 81397595,"Thum Ching Kuan,Co-founder;Ser Wee,Co-founder;Dr Cheng Sim Kim,Co-founder",Pre-seed,—,—, 
1187,IHROS PTE. LTD.,UEN 201330456R,—,11 November 2013,Others,Pre-seed,101 - 200 employees,, ,"ICON@IBP 3A INTERNATIONAL BUSINESS PARK, #01-11, Singapore 609935  Level 39 Citigroup Centre 2 Park Street, Sydney NSW 2000 Australia AU  333 Tianyaoqiao Road Unit 2638 Xuhui, Shanghai CN  2002 Summit Boulevard Suite 300 Atlanta, GA 30319 US",http://www.ihros.com/,information@ihros.com,+65 6206 5020,"Steven R. Maxwell,Founder",Pre-seed,—,—, 
1188,IKLOUDIT,UEN 201313843C,Finance Solutions Provider,22 May 2013,—,Pre-seed,—,,I-Kloudit improves company's productivity as well as profitability. Entrepreneur for Entrepreneurs.,"MIDVIEW CITY 20 SIN MING LANE, #08-66, Singapore 573968", ,support@ikloudit.com,+65 93233242, ,Pre-seed,—,—, 
1189,ILanji Infotech Pte Ltd,UEN 201324430M,WEB DEVELOPMENT,9 September 2013,Infotech,Pre-seed,11 - 50 employees,,ILanji Infotech delivers custom IT tools and applications for business with extended focus on minimizing security.,"SUNTEC TOWER TWO 9 TEMASEK BOULEVARD, #04-03, Singapore 038989  Hamson Technologies LLC, Deira, Post Box No:64206 Dubai AE",http://ilanjiinfotech.com/,enquiries@ilanjiinfotech.com,+65 66815783,"Thenappan Alagappan,Founder",Pre-seed,—,—, 
1190,iLathys,UEN 201115969M,Software Solutions & SaaS developer,5 July 2011,Infotech,Pre-seed,11 - 50 employees,Software Solution,iLathys is incorporated in 2011 and is based in Singapore. The company works with companies worldwide. Their strength is in understanding business requirements as well as technical requirements. The iLathys team comprises a team of 10 in-house experienced developers in order to deliver projects and features. They deliver projects for clients or as a technology partner with equity.,"71 AYER RAJAH CRESCENT, #05-08, Singapore 139951",http://ilathys.com/, , , ,Pre-seed,—,—, 
1191,illigo,UEN 200919250H,Full Fledge App Development Agency,14 October 2009,Infotech,Pre-seed,1 - 10 employees,,"illigo Pte Ltd is an Award Winning Digital Solution Agency. Since founded in 2010, they have been serving clients from MMC to SME on their digital needs. illigo core services are: -- Customise System Development and Integration- Mobile App Development (Native & Hybrid)- Responsive Web Design and Development- Content Management System- E-Commerce- Social Media Marketing- Proximity Solution ","UBI TECHPARK 10 UBI CRESCENT, #04-19, Singapore 408564",http://www.illigo.sg/,askmore@illigo.sg,+65 96834506, ,Pre-seed,—,—, 
1192,IMAGECROWD PTE. LTD.,UEN 201507194H,—,18 March 2015,—,Pre-seed,—,, ,"4A BURY ROAD, #-, Singapore 119824",http://www.imagecrowd.com/, , , ,Pre-seed,—,—, 
1193,IMAGIN8ORS PTE. LTD.,UEN 201504277C,—,12 February 2015,—,Pre-seed,11 - 50 employees,,"We are a global ed-tech startup. We deliver learning that is deeper, personalised, more joyful and relevant to the needs of the 21st Century.","138 BUKIT TIMAH ROAD, #-, Singapore 229839",https://imagin8ors.com/,contact@imagin8ors.com, ,"Balaji Ramanujam,Co-founder;Sampathkumar Pudhukottai,Co-founder, Chief Executive Officer (CEO)",Pre-seed,—,—, 
1194,Imagine Group Entertainment,UEN 201110747N,Digital Media production and Marketing provider,5 May 2011,"Adtech, Media, Entertainment",Pre-seed,11 - 50 employees,Media,"The company is a international TV production company headquartered in Singapore. They develop and produce large scale reality TV shows across a variety of genres such as sports, fitness, design, fashion and lifestyle. They specialize in TV Production, Branded Content Marketing, Reality TV, Content Marketing, Marketing Solutions, Product & Brand Integration, Digital Media Marketing, Marketing Strategy, Brand Management, and Brand Marketing.","19 CANTONMENT ROAD, #-, Singapore 089741",http://imaginegroup.tv/,admin@imaginegroup.tv,+65 62206731, ,Pre-seed,—,—, 
1195,Imagine Solutions,UEN 201301000K,Software Consultancy,9 January 2013,Infotech,Pre-seed,101 - 200 employees,,"Imagine Solutions Pte Ltd is an Independent Software Vendor (ISV) developing system programs for the corporate, commercial, and industrial sectors. Their core focus is on the following vertical industries: retail, F & B, manufacturing, distribution, insurance, logistics, and education. They offer their Cloud ERP software packages that streamline your business processes and improve your organizational productivity.","NGEE ANN CITY TOWER B 391B ORCHARD ROAD, #16-03/04, Singapore 238874", , , ,"Rick Smith,Founder, Chief Executive Officer (CEO)",Pre-seed,—,—, 
1196,Immunoscape Pte Ltd,UEN 201633363C,Advanced Immune Profiling Service Provider,7 December 2016,—,Pre-seed,1 - 10 employees,,"Immunoscape is a biotech company that provides advanced immune profiling services to immunotherapy companies and Institutes of Higher Learning (IHLs) to increase the efficacy of disease treatments. Immunoscape incorporates the use of technologies such as Mass Cytometry, T Cell Antigen Discovery & Cell Profiling as well as Custom Data Analysis Tools to provide services in Immunotherapy and Vaccine Development. These services include the identification of biomarkers of response to treatment, Assessment of treatment biological activity in early clinical and preclinical settings, Identification of surrogate markers of treatment efficacy or vaccine protection, among other services. As a spin-off of A*STAR, immunoSCAPE employs cutting-edge technologies to help companies and academic institutions develop immunotherapy strategies in oncology, infectious and autoimmune diseases. ","SHAW CENTRE 1 SCOTTS ROAD, #24-10, Singapore 228208",https://www.immunoscape.com/,info@immunoscape.com, ,"Michael Fehlings,Co-founder;Alessandra Nardin,Co-founder, Chief Operations Officer (COO);Choon-Peng (Choon) Ng,Co-founder, Chief Executive Officer (CEO)",Pre-seed,—,—, 
1197,impress.ai,UEN 201317192W,—,26 June 2013,Biotech,Pre-seed,1 - 10 employees,Human Resources,"impress.ai was launched in 2017impress.ai aims transform hiring practices for the 21st century by creating an automated and fair hiring process through the use of AI.They currently work with big enterprises such as Accenture, DBS Bank and Singtel.","MAYSPRINGS 6 PETIR ROAD, #11-13, Singapore 678267",https://impress.ai/,support@impress.ai, ,"Amrith Dhananjayan,Co-founder;Sudhanshu Ahuja,Co-founder, Chief Executive Officer (CEO);Vaisagh Viswanathan,Co-founder, Chief Technology Officer (CTO);Suresh Mahadevan,Chief Financial Officer (CFO);Raj Kasi,Chief Commercial Officer (CCO)",Pre-seed,—,—, 
1198,Improlabs,UEN 201314492M,Information technology & services provider,30 May 2013,Infotech,Pre-seed,—,,Improlabs is a Singapore based IT solutions company specialized in the communications and IT based services.,"30 ROBERTS LANE, #02-01, Singapore 218309",https://www.optimasaver.com/,info@improlabs.com,+44 02070978507, ,Pre-seed,—,—, 
1199,IN MIND CLOUD,UEN 201215466K,Manufacturing Sales Platform,22 June 2012,"Infotech, Manufacturing & Engineering",Series A,51 - 100 employees,,"In Mind Cloud is an independent provider of innovative manufacturing sales platforms with the vision to make sales successful and profitable for manufacturing and engineering industries. The platform empowers customers to master their sales challenges regardless of their complexity or elaborate cost structures. And it helps them to deliver accurate quotes of flexible manufacturing whilst protecting their margins, thus yielding their projected revenue.Their cutting-edge sales platforms, embedding CRM and CPQ features, are based on the SAP Cloud Platform to be deeply integrated into manufacturing processes and existing front end sales operations.","35 ANN SIANG ROAD, #-, Singapore 069714",https://www.inmindcloud.com/,Lin.Sen@inmindcloud.com,+65 69084350,"Christian Cuske,Chief Executive Officer (CEO)",Series A,—,1,"4 Oct 2017,Undisclosed,Series A,MXL, Frédéric Capital Management (FCM)(2)"
1200,IN VITRO,UEN 201000300G,Makers of Air Detoxifier,4 January 2010,Biotech,Pre-seed,11 - 50 employees,,"Botanicaire was borne out of a concept of purifying the air through nature's natural power utilizing the Botanicaire Air Detoxifier System! Designed specifically for homes and offices, Botanicaire is an air purifier that focuses on environmental remediation. Using a special cocktail of special bacteria known as the Nuvoc microbesTM, Botanicaire can effectively remove 99% of indoor air contaminants within an hour. Apart from removing the common contaminants such as dust and odour, Botanicaire can also target toxic gases known as Volatile Organic Compounds (VOCs.)Volatile Organic Compounds are around us in any indoor environment. This is because these toxic gases are released from man-made items such as furniture, electronic items, cosmetics, aerosol sprays or paint. These gases include formaldehyde, toluene, benzene, carbon monoxide and many more.  They may seem harmless initially but after prolonged exposure to them, mild effects include headaches, nausea and flu. Long term exposure to Volatile Organic Compounds may even lead to leukemia, damage to the central nervous system and kidney failure. It is also one of the leading causes for Sick Building Syndrome.At In Vitro, a new technology known as the Nuvoc microbesTM was founded. A unique mix of 12 different strains of microbes has an astounding ability to breakdown contaminants in our air space into harmless particles. Using this Nuvoc microbes, the Botanicaire was created as the world’s first revolutionary air purifier that uses nature’s very own power.Equipped with the Nuvoc microbesTM and specialised plants that absorb toxic gases for their nutrients, activated carbon and multiple filters, Botanicaire can easily remove dirt, dust, odour and Volatile Organic Compounds from our airspace. Through multiple testings by the research team at Nanyang Technological University (NTU) of Singapore, Botanicaire has a powerful efficacy of removing 99% of contaminants from our airspace in just an hour’s time.If you’re looking for top grade indoor air quality to improve the health of your loved ones, look no further. Enjoy the benefits of fresh air with Botanicaire tod","ECO-TECH@SUNVIEW 1 SUNVIEW ROAD, #08-39, Singapore 627615",https://www.botanicaire.com/, , ,"Kenneth Yong,Founder, Chief Executive Officer (CEO)",Pre-seed,—,—, 
1201,IN3Labs,UEN 201216315W,STEM Education provider,2 July 2012,Education,Pre-seed,—,,"In3labs aims to educate, prepare, and equip youth with essential skills in STEM ( Science, Technology, Engineering and Mathematics ) such that they  become creator of technology, successful and inspiring future inventors and innovators at the forefront leading our nation.","THOMSON GARDEN ESTATE 224A UPPER THOMSON ROAD, #-, Singapore 574356",http://www.in3labs.com/,info@in3labs.com,+65 64564898, ,Pre-seed,—,—, 
1202,Inas Asia,UEN 201101128K,—,11 January 2011,—,Pre-seed,—,, ,"KALLANG BASIN 40 KALLANG PLACE, #-, Singapore 339168", , , , ,Pre-seed,—,—, 
1203,INDIGO EXPRESS LOGISTIC PTE. LTD.,UEN 201612898N,—,12 May 2016,—,Pre-seed,51 - 100 employees,, ,"CT HUB 2 KALLANG AVENUE, #08-29, Singapore 339407",http://www.indigovexpeditions.org/,rachelle@indigovexpeditions.com, , ,Pre-seed,—,—, 
1204,INDRIYA INNOVATIONS PTE. LTD.,UEN 200817450C,Customer Authentication Systems provider,3 September 2008,Infotech,Pre-seed,11 - 50 employees,,"Indriya Innovations creates new processes and solutions with emerging science and technology. Their products include  speech recognition and voice biometrics engines that were available with academic and commercial institutions, and evaluated their suitability to support diverse Asian languages. They benchmarked various voice biometrics engines and subsequently designed a variety of industry applications to address the growing needs for authentication, identification and verification across banks, insurance, financial institutions, government, education, telecom, logistics and other services sector.","THE BENCOOLEN 180B BENCOOLEN STREET, #12-05, Singapore 189648",http://insindriya.com/,info@insindriya.com, , ,Pre-seed,—,—, 
1205,IndSing Soft,UEN 201318621G,—,10 July 2013,—,Pre-seed,—,, ,"TONG ENG BUILDING 101 CECIL STREET, #23-12, Singapore 069533",http://www.indsingsoft.com/, ,+65 62211295, ,Pre-seed,—,—, 
1206,INF Systems,UEN 201023314H,System Integrator Provider,1 November 2010,Enterprise Solutions,Pre-seed,—,,"INF Systems PTE LTD. is a system integrator specializing in leading edge technology for information systems solutions to enhance an organization's competitive advantage with timely, consolidated and meaningful information.","165 BUKIT MERAH CENTRAL, #06-3663, Singapore 150165  283/46 Unit 1001-2, 10th Floor Homeplace Office Building, Soi Sukhumvit 55, Sukhumvit Road, Klongton-nur, Wattana, Bangkok 10110 TH",http://www.infsystemsgroup.com/,sales@infsystemsgroup.com,+65 31571509,Wah Lian Lee;Wah Guan Lee,Pre-seed,—,—, 
1207,Infenion Tech,UEN 201018716M,"Enterprise IT, web and mobile solutions provider",3 September 2010,"Infotech, Enterprise Solutions",Pre-seed,—,,"Infenion Tech Pte Ltd is a Singapore based integrated information technology (IT) solutions provider of smartphone applications, web-based business solutions, enterprise infrastructure and enterprise resource planning (ERP) solutions. They deliver the best value IT and ERP solutions which help their customers achieve better business performance in all areas of the company's enterprise including planning, purchasing, inventory, sales, marketing, human resource and finance.","WOODLANDS 11 11 WOODLANDS CLOSE, #10-24, Singapore 737853",http://www.infeniontech.com/,contactus@infeniontech.com,+65 68759073,"Dylan Lai,Co-founder;Isaac Yong,Co-founder",Pre-seed,—,—, 
1208,infforay,UEN 200906837Z,Data Warehousing and Data Analytics,17 April 2009,Infotech,Pre-seed,—,,Infforay is a data warehousing and analytics solutions provider,"SGX CENTRE II 4 SHENTON WAY, #08-03, Singapore 068807",http://www.infforay.com/, , , ,Pre-seed,—,—, 
1209,INFINERGY SYSTEMS,UEN 201319902M,One-Stop Advisory Service Provider,23 July 2013,Infotech,Pre-seed,—,,"We offer a one-stop advisory service which includes business needs assessment, application and infrastructure design, application development and implementation support and consulting. ","UBI TECHPARK 10 UBI CRESCENT, #06-26, Singapore 408564",http://www.infinergy.com.sg/,enquiry@infinergy.com.sg,+65 63388615,"Joe Ng,Founder",Pre-seed,—,—, 
1210,INFINI TECHNOLOGIES PTE. LTD.,UEN 201012683R,IT Services Provider,15 June 2010,Infotech,Pre-seed,11 - 50 employees,,"Infini Technologies is an IT Solution provider, their solutions offering include Mobile App Development(iOS, Android, Windows), Device Driver Development, Web Application","TOH GUAN CENTRE 21 Toh Guan Road East , #07-06, Singapore 608609",http://www.infinitetechnologies.in/,info@infinitetechnologies.in,+91 88900-93010, ,Pre-seed,—,—, 
1211,INFINI VIDEOS PTE. LTD.,UEN 201508812D,Interactive video platform,2 April 2015,Infotech,Pre-seed,1 - 10 employees,Platform,"Infinivideos is an online platform for creating interactive videos. The video creators can easily upload, edit and publish interactive videos in a few easy steps. The published video can then be shared across popular social networks and also be customised and embedded on third-party websites.","MARTIA RESIDENCE 7 MARTIA ROAD, #05-04, Singapore 424794",http://infinivideos.com/,contact@infinivideos.com,+65 82015421, ,Pre-seed,—,—, 
1212,INFINITE CONCEPTS,UEN 201120015K,—,24 August 2011,—,Pre-seed,—,, ,"TAMPINES INDUSTRIAL PARK A 9010 TAMPINES STREET 93, #01-101, Singapore 528844", , , , ,Pre-seed,—,—, 
1213,Infinity Lighting Technology,UEN 201110316G,Electrical/Electronic Manufacturer provider,29 April 2011,"Retail, Manufacturing & Engineering",Pre-seed,101 - 200 employees,Manufacturing & Engineering,"Infinity Lighting Technology is a member of Singapore Green Building Council (SGBC). Its business comprises of design and development of quality, eco-friendly, long lasting, and cost effective lighting products.Infinity Lighting Technology's products (Green Power) adhere to international standards such as CE mark, CCC mark, which meet EU and China consumer safety, health and environmental requirements, as well as compliance to RoHS.Infinity Lighting Technology commits to helping our clients save energy and money. The company believes by taking action now, clients will enhance their profitability and sustaining their competitive edge for years to come.","TECHPLACE 1 4010 ANG MO KIO AVENUE 10, #04-08, Singapore 569626",http://ilt.com.sg/,info@infinityglobals.com, , ,Pre-seed,—,—, 
1214,INFINIUM ROBOTICS PTE. LTD.,UEN 201334892G,Robotics Research and Development Company,31 December 2013,"Industrial Electronics, Infocomm Tech",Seed,1 - 10 employees,Robotics,"Infinium Robotics understands that robotic technologies will soon occupy the forefront in the world.As such, the company is dedicated to improving the productivity and revenue of businesses by creating robots, intelligent enough to operate autonomously or cohesively alongside human workforce.With its In-house developed algorithms, Infinium Robotics provides a unique solution for collision-free multiple UAS operations. With the mission of providing UAS management system to all drone users, Infinium Robotics envisions being the World’s leading drone software company.","PANTECH BUSINESS HUB 192 PANDAN LOOP, #01-10, Singapore 128381",http://www.infiniumrobotics.com/, , ,"Junyang Woon,Chief Executive Officer (CEO);Alejandro Alonso Puig,Chief Technology Officer (CTO)",Seed,USD 750.0K,1,"23 Jun 2015,USD 750.0K,Seed,SPRING Singapore(1)"
