No,Name,Adress,Phone,Fax,Email,Website,Executive Contact,Classifications,Company Profile
274,K K THAM & ASSOCIATES,"Blk 118 , Aljunied Avenue 2 #04-102 #04-102 Singapore Singapore 380118 380118",+65 6334 6833,+65 6334 6788,accttham@singnet.com.sg,N/A,MR THAM KHAI KONG,Statutory/ External Audit,
275,K K WONG & ASSOCIATES,"190 , Middle Rd Fortune Centre Fortune Centre #11-02 #11-02 Singapore Singapore 188979 188979",N/A,+65 6536 7787,jameswon@singnet.com.sg,N/A,MR WONG KING KHENG,Statutory/ External Audit,
276,K L LEE & CO,"19 , Loyang Way #02-10 #02-10 Singapore Singapore 508724 508724",N/A,N/A,jcs133svcs@gmail.com,N/A,MR LEE KOK LEONG,Statutory/ External Audit,
277,K M HO & CO,"865 , Mountbatten Road Katong Shopping Centre Katong Shopping Centre #06-12 #06-12 Singapore Singapore 437844 437844",N/A,+65 6348 9842,kmhonco@singnet.com.sg,N/A,MR HO KA MAN,"Statutory/ External Audit,Internal Audit,Business Formation/Start-Up,Filing Tax Returns,GST,Bookkeeping,Computerised Accounting Systems",
278,K P HO & ASSOCIATES,"80 , South Bridge Rd Golden Castle Bldg Golden Castle Bldg #03-01 #03-01 Singapore Singapore 058710 058710",N/A,N/A,kphocpa@gmail.com,N/A,MR HO KAH PENG,Statutory/ External Audit,
279,K S CHAN & CO,"237 , Pandan Loop Westech Bldg Westech Bldg #07-07 #07-07 Singapore Singapore 128424 128424",+65 6334 6288,+65 6334 7288,kschan@singnet.com.sg,N/A,MR CHAN KIAN SOO,Statutory/ External Audit,
280,K T LEONG & CO,"151 , Chin Swee Road Manhattan House Manhattan House #06-11 #06-11 Singapore Singapore 169876 169876",N/A,+65 6738 5020,N/A,N/A,LEONG KWONG TAT,"Statutory/ External Audit,Business Formation/Start-Up,Corporate Secretariat Services,Filing Tax Returns,Tax Planning,Bookkeeping,Business Valuation,Productivity & Innovation Credit (PIC)",
281,K Y CHIANG & CO,"180 , Cecil Street Bangkok Bank Building Bangkok Bank Building #10-02 #10-02 Singapore Singapore 069546 069546",+65 6327 9888,+65 6327 9159,viviennechiang@kyc.com.sg,www.kyc.com.sg,MRS VIVIENNE CHIANG KOK YING,"Internal Audit,Advisory Services,Enterprise Risk Management,Financial Risk Management,Bookkeeping","Founded in 1994, KYC Group of companies has specialized teams looking after different areas of compliance and advisory, namely external/internal audit assurance, local and international tax, CFO & business transactions processing for accounts and finance, setting up companies & corporate agreements preparation, business valuation, financial management consultancy and technology adaption.  We are committed to our clients in delivering sound, reliable and responsive service with the profession’s highest technical and ethical standards."
282,K Y CHIK & ASSOCIATES,"150 , South Bridge Road Fook Hai Building Fook Hai Building #06-04 #06-04 Singapore Singapore 058727 058727",N/A,+65 6536 0525,kychik@singnet.com.sg,N/A,MS CHRISTINE CHIK,"Statutory/ External Audit,Bookkeeping",
283,K. A. SEAH & CO,"No.1 , Coleman Street The Adelphi The Adelphi #06-04 #06-04 Singapore Singapore 179803 179803",+65 6336 9168,+65 6338 1560,N/A,N/A,SEAH KIM AN,"Statutory/ External Audit,Business Formation/Start-Up,Productivity & Innovation Credit (PIC),Bookkeeping,Corporate Secretariat Services,Filing Tax Returns,GST",
284,K. C. CHAN & CO,"105 , Cecil Street Octagon, The Octagon, The #15-01 #15-01 Singapore Singapore 069534 069534",+65 6324 7718,+65 6225 9110,c0763@kcpac.com.sg,kcpac.com.sg,SERENA ANG,"Statutory/ External Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Payroll & HR Administration Services,Computer Systems,Computerised Accounting Systems,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Business Coaching,IE Singapore Schemes,IDA Schemes,Cross-border Investment Advisory,Financial and Accounting Processes,HR Processes",
285,K. C. LOW & CO,"100 , Lorong 23, Geylang, off Sims Lane D'Centenial D'Centenial #06-03 #06-03 Singapore Singapore 388398 388398",+65 6223 9200,+65 6846 4254,N/A,N/A,AGNES K.C. LOW,"Statutory/ External Audit,Grant Applications,Business Formation/Start-Up,Business Plans,Corporate Secretariat Services,Computerised Accounting Systems,Bookkeeping,Bankruptcies and/or Liquidations,Business Valuation,Buying and Selling Businesses,IE Singapore Schemes,IDA Schemes,Filing Tax Returns,Tax Planning",
286,K. E. CHEN & CO,"87 , Beach Road Chye Sing Building Chye Sing Building #02-03 #02-03 Singapore Singapore 189695 189695",+65 6339 4092,+65 9299 5919,cke2000@pd.jaring.asia,N/A,MDM K. E. CHEN,"Internal Audit,Advisory Services,Business Formation/Start-Up,Business Coaching,Filing Tax Returns,GST,Bookkeeping,Corporate Secretariat Services",
287,K. F. HOONG & COMPANY,"1 , Irving Place The Commerze @ Irving The Commerze @ Irving #07-09 #07-09 Singapore Singapore 369546 369546",+65 6334 8018,+65 6268 0239,hoong@kfhoong.com.sg,N/A,MR HOONG KONG FATT,Statutory/ External Audit,
288,K. K. LIM & CO.,"47B , Tras Street Singapore Singapore 078986 078986",+65 6227 1141,+65 6224 1191,kklimnco@singnet.com.sg,N/A,LIM KOK KHUANG,"Statutory/ External Audit,Bookkeeping,Business Formation/Start-Up,Business Plans,Corporate Secretariat Services,Financial and Accounting Processes,Due Diligence,Corporate Governance,Bankruptcies and/or Liquidations,Financial Restructuring,Financial/Wealth Planning,Filing Tax Returns,GST",
289,K. S. CHEW & CO,"69 , Ubi Road 1 Oxley BizHub Oxley BizHub #10-24 #10-24 Singapore Singapore 408731 408731",N/A,+65 6702 5669,kschew@kschewco.com.sg,www.kschewco.com.sg,MR CHEW KAM SWEE,"Financing Arrangement and Rearrangement,Filing Tax Returns,GST,Payroll & HR Administration Services,Others",
290,K. S. CHIN & CO,"Blk 261 , Waterloo St Waterloo Centre Waterloo Centre #04-15 #04-15 Singapore Singapore 180261 180261",+65 6339 0314,N/A,chinkenseng@yahoo.com.sg,N/A,MR CHIN KEN SENG,"Statutory/ External Audit,Business Formation/Start-Up,Filing Tax Returns,GST,Bookkeeping,Computerised Accounting Systems",
291,K. S. KONG AND COMPANY,"133 , New Bridge Rd Chinatown Point Chinatown Point #25-03 #25-03 Singapore Singapore 059413 059413",N/A,N/A,kskong2000@yahoo.co.uk,N/A,MR KONG KIAN SIONG,Statutory/ External Audit,
292,K.S. NG & CO,"22 , Lorong 21A Geylang Prosper Industrial Building Prosper Industrial Building #08-02 #08-02 Singapore Singapore 388431 388431",N/A,+65 6743 6755,hr@ksng.com.sg,www.ksng.com.sg,MR NG KEM SAN,"Internal Audit,Advisory Services,Filing Tax Returns,GST,Bookkeeping",
293,KADER & CO.,"100 , Jalan Sultan Sultan Plaza Sultan Plaza #09-07 #09-07 Singapore Singapore 199001 199001",+65 6398 1020,+65 6398 1030,contact@kader.com.sg,www.kader.com.sg,DR MOHIADEEN ABDUL KADER,"Statutory/ External Audit,Internal Audit,Budgeting,Business Formation/Start-Up,Business Plans,Others,Filing Tax Returns,GST,Bookkeeping,Grant Applications,Productivity & Innovation Credit (PIC),IE Singapore Schemes,Computerised Accounting Systems",
294,KAIDEN GROUP PTE LTD,"203 , Hougang Street 21 #03-73 & #04-93 #03-73 & #04-93 Singapore Singapore 530203 530203",N/A,N/A,enquiry@kaidengroup.com.sg,www.kaidengroup.com.sg,,"Advisory Services,Audit of Gross Turnover (GTO),Filing Tax Returns,GST,Corporate Training Courses,Others",
295,KAN & CO,"141 , Middle Road GSM Building GSM Building #04-07 #04-07 Singapore Singapore 188976 188976",+65 6334 4338,+65 6339 6030,N/A,N/A,LAI YOKE KWAI,"Statutory/ External Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Financial and Accounting Processes",
296,KANG & KHOO,"100 , Jln Sultan Sultan Plaza Sultan Plaza #08-03 #08-03 Singapore Singapore 199001 199001",+65 6392 6022,+65 6293 4156,cpa@kangnkhoo.com.sg,N/A,MR NEO SOON HUAT,Statutory/ External Audit,
297,KC CORPORATE SOLUTIONS PTE LTD,"138 , Robinson Road Oxley Tower Oxley Tower #25-03 #25-03 Singapore Singapore 068906 068906",N/A,N/A,info@kcsolve.com.sg,www.kcsolve.com.sg,MR STEVEN TAN,"Bookkeeping,Tax Planning,Others",
298,KEITH LIM & CO,"10 , Jalan Besar Sim Lim Tower Sim Lim Tower #07-10 #07-10 Singapore Singapore 208787 208787",+65 6336 6200,N/A,keith@keithlim.com.sg,N/A,MR LIM KIM HUAT KEITH,Statutory/ External Audit,
299,KELVIN TAN & CO,"150 , Kampong Ampat KA Centre KA Centre #06-01 #06-01 Singapore Singapore 368324 368324",N/A,N/A,kelvinj.tan@yahoo.com.sg,N/A,"MR TAN JOON NGO, KELVIN",Statutory/ External Audit,
300,KELVIN WONG & CO,"336 , Smith Street New Bridge Centre New Bridge Centre #04-304 #04-304 Singapore Singapore 050336 050336",N/A,+65 6438 3358,kelvinwong@kelvinwong.com.sg,N/A,KELVIN WONG,"Statutory/ External Audit,Internal Audit,Business Formation/Start-Up,Payroll & HR Administration Services,Bookkeeping,Corporate Secretariat Services,Filing Tax Returns,GST",
301,KEN TAN & CO,"37 , Kallang Pudding Road Tong Lee Building Block B Tong Lee Building Block B #03-01 #03-01 Singapore Singapore 349315 349315",+65 6744 0096,+65 6744 0565,N/A,N/A,KEN TAN KHIM SING,"Statutory/ External Audit,Business Formation/Start-Up,Productivity & Innovation Credit (PIC),Filing Tax Returns,GST,Bookkeeping,Corporate Secretariat Services,Financial and Accounting Processes",
302,KEN WONG & CO,"178 , Paya Lebar Road #05-01 #05-01 Singapore Singapore 409030 409030",+65 6299 5019,+65 6299 5026,ken@kenwongco.com,N/A,MR WONG KHEN SENG,"Statutory/ External Audit,Bankruptcies and/or Liquidations,Corporate Recovery,Corporate Secretariat Services,Computer Consultants,Computerised Accounting Systems,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Payroll & HR Administration Services,Financial and Accounting Processes,HR Processes,Due Diligence",
303,KIT YEE & CO,"371 , Beach Rd Keypoint Keypoint #19-06 #19-06 Singapore Singapore 199597 199597",+65 6293 3222,+65 6296 7900,kityee99@yahoo.com,N/A,MR YEE KIT HONG,Statutory/ External Audit,
304,KK YAP & ASSOCIATES,"35 , Selegie Road Parklane Shopping Mall Parklane Shopping Mall #10-18 #10-18 Singapore Singapore 188307 188307",+65 6339 9268,+65 6224 8207,doug.yap@gmail.com,N/A,"MR YAP KUAN KIT, DOUGLAS","Statutory/ External Audit,Business Formation/Start-Up,Bookkeeping,Filing Tax Returns,GST",
305,KOH CHEE SENG & CO,"6001 , Beach Rd #02-42 #02-42 Singapore Singapore 199589 199589",N/A,N/A,kcsco68@yahoo.com.sg,N/A,MR KOH CHEE SENG,Statutory/ External Audit,
306,KOH SWEE TIAN & CO,"7 , Temasek Boulevard Suntec Tower 1 Suntec Tower 1 #04-01 #04-01 Singapore Singapore 038987 038987",+65 6338 2661,+65 6338 3929,kohst@kst.com.sg,N/A,MS CAROL LEE,"Statutory/ External Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Payroll & HR Administration Services",
307,"KONG, LIM & PARTNERS LLP","13A , Mackenzie Road Singapore Singapore 228676 228676",+65 6227 4180,+65 6324 0213,konglim@klp.com.sg,klp.com.sg/,LIM YEONG SENG,"Statutory/ External Audit,Internal Audit,Budgeting,Corporate Recovery,Restructuring,Buying and Selling Businesses,Capital Investment,Financial Investigation,Litigation Assistance,Payroll & HR Administration Services,Enterprise Risk Management,Financial Risk Management,Due Diligence,Bookkeeping,Grant Applications,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,IE Singapore Schemes,IDA Schemes,Financial and Accounting Processes,Filing Tax Returns,GST",
308,KPMG LLP,"16 , Raffles Quay Hong Leong Building Hong Leong Building #22-00 #22-00 Singapore Singapore 048581 048581",+65 6213 3388,+65 6225 0984,sg-marketing@kpmg.com.sg,kpmg.com.sg,MR ONG PANG THYE,"Internal Audit,Advisory Services,Business Formation/Start-Up,Business Coaching,Computer Consultants,Information Technology and E-Commerce,Filing Tax Returns,GST,Bankruptcies and/or Liquidations,Corporate Recovery,Business Valuation,Financial Restructuring,Set up Management Information Systems, Financial Management and Control Systems, etc,Others,Transaction Advisory,Due Diligence","KPMG in Singapore is part of a global network of professional services firms providing Audit, Tax and Advisory services. With 189,000 outstanding professionals at independent member firms in 152 countries worldwide, we offer a globally-consistent standard of service based on professional capabilities, industry insight and local knowledge. In the ASEAN region, KPMG member firms operate across all 10 countries.  KPMG brings together expertise in key segments across industries including Financial Services, Consumer Markets, Energy, Infrastructure, Government & Healthcare, Industrial Markets, Digital, Media, Telecommunications and Real Estate. Drawing on industry insights and technical knowledge, our professionals provide clients with informed perspectives on market challenges and opportunities in their pursuit of business growth, enhanced performance, governance and compliance objectives."
309,KRESTON DAVID YEUNG PAC,"128A , Tanjong Pagar Road Singapore Singapore 088535 088535",+65 6223 7979,+65 6222 7979,dyks@davidyeung.com.sg,www.davidyeung.com.sg,MR DAVID YEUNG(MANAGING PARTNER)DYKS@DAVIDYEUNG.COM.SGMR THIAN ZTE CHEN(PARTNER)THIAN@DAVIDYEUNG.COM.SG,"Internal Audit,Advisory Services,Filing Tax Returns,GST,Bookkeeping","Kreston David Yeung PAC is a medium size accounting firm that specialises in audit, tax and corporate secretarial services. Established in 1987, we have built a reputation for providing personalised quality and efficient services to our clients. Through our affiliation to Kreston International, we offer the resources of our member firms in over 100 countries with over 23,000 professional and support staff.  We are committed to provide solutions for our clients through our team of experienced professionals as well as continuously keeping abreast with the latest financial developments that help clients meet the needs of today and plan for those of tomorrow."
310,KT PRO & CO,Singapore Singapore,N/A,N/A,tantchs@yahoo.com,N/A,MR TAN TECK CHOY,Statutory/ External Audit,
311,KWAN WONG TAN & HONG,"15 , Scotts Road Thong Teck Building Thong Teck Building #04-01/03 #04-01/03 Singapore Singapore 228218 228218",N/A,+65 6733 5497,accountants@kwth.com.sg,www.kwth-cpa.com,MRS MIN Y. HONG,"Statutory/ External Audit,Corporate Secretariat Services,Bookkeeping,Filing Tax Returns,GST",
312,L C KOH & CO,"1 , Sims Lane Singapore Singapore 387355 387355",+65 6292 1881,+65 6841 9692,sharon@humanbliss.com.sg,N/A,MS KOH LAY CHOO,Statutory/ External Audit,
313,L H KAN & CO,"8 , Marine Vista #02-27 #02-27 Singapore Singapore 449032 449032",+65 6345 0218,+65 6345 7672,lhkanco@gmail.com,N/A,MS KAN LAI HAR,Statutory/ External Audit,
314,L H KWEE & CO,"101 , Cecil St Tong Eng Bldg Tong Eng Bldg #09-12 #09-12 Singapore Singapore 069533 069533",+65 6324 4129,N/A,cpa@lhkwee.com,N/A,MISS KWEE LAY HUI,Statutory/ External Audit,
315,L H ONG & CO,"Blk 2 , Joo Chiat Road Joo Chiat Complex Joo Chiat Complex #03-1121 #03-1121 Singapore Singapore 420002 420002",+65 6391 5089,+65 6298 0402,N/A,www.lhongnco.com.sg,L.H.ONG,"Statutory/ External Audit,Charity Audit,Budgeting,Bankruptcies and/or Liquidations,Company Listing,Corporate Secretariat Services,Payroll & HR Administration Services,Bookkeeping,Grant Applications,Business Formation/Start-Up,Business Plans,Business Valuation,Productivity & Innovation Credit (PIC),Filing Tax Returns,GST",
316,L L LOW & ASSOCIATES,"3 , Shenton Way Shenton House Shenton House #21-09 #21-09 Singapore Singapore 068805 068805",+65 6602 8163,N/A,limlim@lllow.com.sg,N/A,LOW LIM LIM,"Statutory/ External Audit,Bookkeeping",
317,L W ONG & ASSOCIATES LLP,"701 , Sims Drive LHK Building LHK Building #08-01 #08-01 Singapore Singapore 387383 387383",N/A,+65 6846 7208,lwong@theaccountants.com.sg,www.theaccountants.com.sg,MR YAP SOO SAN,"Internal Audit,Advisory Services,Filing Tax Returns,GST,Bookkeeping",
318,L Y LEONG & CO,"20 , Kramat Lane United Hse United Hse #02-02 #02-02 Singapore Singapore 228773 228773",N/A,N/A,lyleong@lyleongco.com.sg,N/A,MR LEONG LICK YAU,Statutory/ External Audit,
319,LAU CHIN HUAT & CO,"Blk 50 , Havelock Rd #02-767 #02-767 Singapore Singapore 160050 160050",+65 6222 3800,+65 6222 1855,ybk@e-management.com.sg,N/A,MR YEO BOON KEONG,"Internal Audit,Charity Audit,Bankruptcies and/or Liquidations,Corporate Recovery,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Computerised Accounting Systems",
320,LAU CHOH LUEN & CO,"12 , Jln Lembah Kallang Concorde Bldg Concorde Bldg #03-01 #03-01 Singapore Singapore 339568 339568",+65 6297 9298,N/A,chohluen@concordeauto.com.sg,N/A,MR LAU CHOH LUEN,Statutory/ External Audit,
321,LAW PIANG WOON & CO.,"10 , Ubi Cres Ubi Techpark Lobby B Ubi Techpark Lobby B #03-15 #03-15 Singapore Singapore 408564 408564",N/A,+65 6749 7656,lpw2000@tm.net.my,N/A,MR LAW PIANG WOON,Statutory/ External Audit,
322,LCC PARTNERSHIP,"200 , Jalan Sultan Textile Centre Textile Centre #08-02 #08-02 Singapore Singapore 199018 199018",+65 6323 2261,+65 6725 8028,support@lccglobal.com,www.lccglobal.com,MR LOW CHEE CHEN,"Statutory/ External Audit,Bankruptcies and/or Liquidations,Company Listing,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Financial and Accounting Processes",
323,LEE & HEW PUBLIC ACCOUNTING CORPORATION,"160 , ROBINSON ROAD SINGAPORE BUSINESS FEDERATION CENTER SINGAPORE BUSINESS FEDERATION CENTER #18-09 #18-09 Singapore Singapore 068914 068914",+65 6817 6699,67178801,enquiries@leeandhew.com.sg,www.leeandhew.com.sg,,"Statutory/ External Audit,Internal Audit,Charity Audit,Advisory Services,Audit of Gross Turnover (GTO),Certification,Certification & Attestation,Certification of Gross Sales,Corporate Secretarial & Management Services,Gross Sales Certification,MCST Audit,Sales Audit,Special Audit,Special Purpose Audit,Any others,Budgeting,Business Solution Provider,Company Listing,Corporate Secretariat Services,Payroll & HR Administration Services,Relocation Services,Computerised Accounting Systems,Information Security,Financial and Accounting Processes,HR Processes,International Tax Advisory,Filing Tax Returns,Tax Planning,GST,Transfer Pricing,Bookkeeping,Bankruptcies and/or Liquidations,Closing of companies & business entities,Business Formation/Start-Up,Business Valuation,Pricing Analysis and Valuation,Financial Investigation,Litigation Assistance,Investment & Tax Regimes (e.g. Cross Border Tax),Due Diligence for Overseas Projects,Merger and Acquisition,Company_Incorporation,Valuation,Due Diligence","Lee & Hew is a specialist organisation focused in providing premium One-Stop Services in Assurance, Regulatory Compliance, and Financial & Risk Advisory. Our full suite of services also includes Accounting, Company Secretary and Tax Services. Lee & Hew is a Singapore Partner of ETL Global. Collectively, we have over 800 professional firms worldwide in 44 countries across 5 continents on standby and ready to come to your service. Globally mobile, the support that we provide you is not restricted by borders.  Lee & Hew understands your needs and your responsibilities. Our methodical approach and our full suite of service offerings, taken onto a Global level, ensures that you get the Excellent service that is Fully Calibrated to your needs and which you so deserve. Trust, Credibility, Expertise and the desire to serve you well with Integrity is a given."
324,LEE & JONATHAN PAC,"140 , Paya Lebar Road AZ@PAYA LEBAR AZ@PAYA LEBAR #07-20 #07-20 Singapore Singapore 409015 409015",+65 6298 3059,+65 6291 9389,jonathan@leejonathan.com.sg,WWW.LEEJONATHAN.COM.SG,JONATHAN GANESH SHAN,"Advisory Services,Audit of Gross Turnover (GTO),Corporate Secretariat Services",
325,LEE ACCOUNTAX CONSULTANCY,"Blk 164 , Bukit Merah Central #03-3657 #03-3657 Singapore Singapore 150164 150164",+65 6271 7275,+65 6274 3010,lycycl@gmail.com,N/A,MR LEE YUEN CHIN,"Corporate Secretariat Services,Filing Tax Returns,GST",
326,LEE BOON SONG & CO PAC,"190 , Middle Road Fortune Centre Fortune Centre #17-05 #17-05 Singapore Singapore 188979 188979",+65 6338 3922,+65 6336 1652,office@angnco.com,www.angnco.com,MR ANG KONG MENG,"Internal Audit,Charity Audit,Business Formation/Start-Up,Business Coaching,Corporate Training Courses,Payroll & HR Administration Services,Due Diligence,Merger and Acquisition,Bookkeeping,Corporate Secretariat Services,Filing Tax Returns,GST",
327,LEE CHEE WUNG & CO,"60001 , Beach Road Golden Mile Tower Golden Mile Tower #18-03A #18-03A Singapore Singapore 199589 199589",+65 6294 0561,+65 6293 7601,lcwco@singnet.com.sg,N/A,MR LEE CHEE WUNG,Statutory/ External Audit,
328,LEE CORPORATE MANAGEMENT CONSULTANCY,"Blk 164 , Bukit Merah Central #03-3657 #03-3657 Singapore Singapore 150164 150164",+65 6271 7275,+65 6274 3010,lycycl@gmail.com,N/A,MR LEE YUEN CHIN,"Bookkeeping,Filing Tax Returns,GST",
329,LEE KOK POH & CO,"141 , Middle Rd GSM Bldg GSM Bldg #06-03 #06-03 Singapore Singapore 188976 188976",+65 6338 2911,+65 6338 2913,taniasjlee@gmail.com,N/A,MISS LEE SAN JIN TANIA,"Statutory/ External Audit,Filing Tax Returns",
330,LEE S F & CO,"Blk 261 , Waterloo St Waterloo Centre Waterloo Centre #03-08 #03-08 Singapore Singapore 180261 180261",+65 6336 4557,+65 6336 5604,leesfco@singnet.com.sg,N/A,MR LEE SANG FUN,Statutory/ External Audit,
331,LEE YEOK CHAI & CO PAC,"141 , Middle Rd GSM Bldg GSM Bldg #03-03 #03-03 Singapore Singapore 188976 188976",+65 6293 3881,N/A,phong@leeyeokchai.sg,N/A,MISS ONG POH HONG,Statutory/ External Audit,
332,LEE YUEN CHIN & CO.,"Blk 164 , Bukit Merah Central #03-3657 #03-3657 Singapore Singapore 150164 150164",+65 6271 7275,+65 6274 3010,lycycl@gmail.com,N/A,MR LEE YUEN CHIN,"Bookkeeping,Corporate Secretariat Services,Filing Tax Returns,GST,Business Formation/Start-Up,Financial and Accounting Processes",
333,LEETHEN & ASSOCIATES,"2 , Jurong East Street 21 IMM Building IMM Building #04-20 #04-20 Singapore Singapore 609601 609601",+65 6425 5690,+65 6425 5692,irenethen@alphabc.sg,www.alphabc.sg,MS THEN LEE LIAN,Statutory/ External Audit,
334,LEONG KIN WENG & CO.,"809 , French Road Kitchener Complex Kitchener Complex #06-152 #06-152 Singapore Singapore 200809 200809",+65 6291 2138,+65 6296 3433,steven@deya.com.sg,N/A,LEONG KIN WENG STEVEN,"Statutory/ External Audit,Filing Tax Returns,Business Formation/Start-Up",
335,LIEW KEOW SENG PUBLIC ACCOUNTING CORPORATION,"1 , Coleman Street The Adelphi The Adelphi #06-06 #06-06 Singapore Singapore 179803 179803",+65 6338 9168,+65 6338 9160,N/A,lks.com.sg,KERRY LIEW,"Statutory/ External Audit,Bookkeeping,Business Formation/Start-Up,Business Plans,Payroll & HR Administration Services,Corporate Governance,Grant Applications,Corporate Secretariat Services,Filing Tax Returns,GST",
336,LIM CH & ASSOCIATES,"7030 , Ang Mo Kio Avenue 5 Northstar@AMK Northstar@AMK #09-92 #09-92 Singapore Singapore 569880 569880",+65 6270 1163,+65 6223 6521,limchonghuat@gmail.com,N/A,MR LIM CHONG HUAT,Statutory/ External Audit,
337,LIM CHEE YONG & CO,"151 , Chin Swee Rd Manhattan House Manhattan House #07-02/04 #07-02/04 Singapore Singapore 169876 169876",+65 6222 3301,+65 6222 3309,rl@lcy.sg,N/A,MR LIM CHEE YONG,"Statutory/ External Audit,Business Formation/Start-Up,Bookkeeping,Filing Tax Returns",
338,LIM SIEW LUAN & CO,Singapore Singapore,N/A,N/A,sllimco@yahoo.com,N/A,MS LIM SIEW LUAN,Statutory/ External Audit,
339,LIN & ASSOCIATES,Anson Road Singapore Singapore,N/A,N/A,lin88zhi@singnet.com.sg,N/A,MISS WOO LIN CHZE,Statutory/ External Audit,
340,LING UK CHOON & CO.,"401 , Havelock Road Hotel Miramar Hotel Miramar #02-06 #02-06 Singapore Singapore 169631 169631",+65 6220 7771,+65 6235 0256,N/A,N/A,GRACE LING,"Statutory/ External Audit,Receivership,Corporate Secretariat Services,Payroll & HR Administration Services,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Business Coaching,Financial Investigation,Litigation Assistance,Financial and Accounting Processes,HR Processes,Due Diligence",
341,LINKZ ASSURANCE PAC,"65 , Chulia Street OCBC Centre OCBC Centre #38-06 #38-06 Singapore Singapore 049513 049513",+65 6221 0363,+65 6221 0348,lingling@linkzcorp.com,www.linkzcorp.com,LOO LING LING,"Advisory Services,Filing Tax Returns,GST",
342,LL ONG & CO,"20 , Maxwell Road Maxwell House Maxwell House #04-02C #04-02C Singapore Singapore 069113 069113",+65 6224 9227,+65 6224 9227,N/A,N/A,"VICTOR, QUEK BENG TECK","Statutory/ External Audit,Charity Audit,Loan Finance and Leasing Advice,Business Formation/Start-Up,Business Plans,Business Valuation,Buying and Selling Businesses,IE Singapore Schemes,IDA Schemes,Computerised Accounting Systems,Financial and Accounting Processes,HR Processes,Profit Improvement Programmes,Bookkeeping,Receivership,Company Listing,Corporate Secretariat Services,Payroll & HR Administration Services,Others,Set up Management Information Systems, Financial Management and Control Systems, etc,Financial Risk Management,Operational Risk Management,Filing Tax Returns,GST",
343,LO HOCK LING & CO,"101A , Upper Cross Street People's Park Centre People's Park Centre #11-22 #11-22 Singapore Singapore 058358 058358",N/A,+65 6533 6960,enquiry@lohocklingco.com.sg,www.lohocklingco.com.sg,MRS PEARLYN CHONG,"Internal Audit,Advisory Services,Filing Tax Returns,GST,Bookkeeping","Lo Hock Ling & Co. is an established public accounting and business consulting firm in Singapore. Our greatest strength lies in our ability to understand the strategic needs of our clients combined with the business experience of our professionals which help us add value to our clients’ business. Our firm is committed to quality service for our clients which include privately-owned businesses and multi-national corporations in all sectors and have built an esteemed reputation in the areas of accounting & assurance, tax, information technology consulting and business advisory services. Lo Hock Ling & Co. is also an independent member of Leading Edge Alliance, a global association of accountants and consultants."
344,LOH KUM HENG & COMPANY,"133 , New Bridge Road Chinatown Point Chinatown Point #15-01 #15-01 Singapore Singapore 059413 059413",+65 6534 5522,+65 6534 5529,lohcpa@singnet.com.sg,N/A,LOH KUM HENG,"Statutory/ External Audit,Business Formation/Start-Up,Filing Tax Returns,Bookkeeping,Corporate Secretariat Services",
345,LOH POH LIM & CO,"3 , Shenton Way Shenton House Shenton House #12-06 #12-06 Singapore Singapore 068805 068805",+65 6222 7275,+65 6222 6926,info@jachinpac.com.sg,www.jachinpac.com.sg,MR LOH POH LIM,"Statutory/ External Audit,Internal Audit,Budgeting,Bankruptcies and/or Liquidations,Business Valuation,Buying and Selling Businesses,Payroll & HR Administration Services,Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST,Bookkeeping,Loan Finance and Leasing Advice,Grant Applications,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,Computerised Accounting Systems,Financial and Accounting Processes,Due Diligence,Merger and Acquisition",
346,LOKE LUM PAC,"110 , Chiat Hong Building Middle Road Middle Road #05-00 #05-00 Singapore Singapore 188968 188968",+65 6332 0088,+65 6333 9690,dloke@llcg.com.sg,www.lokelum.com.sg,LOKE CHIEW MUN DANIEL,"Internal Audit,Charity Audit,International Tax Advisory,GST,Grant Applications",
347,LOUISE NEO & COMPANY,"1 , Fifth Avenue Guthrie House Guthrie House #03-08 #03-08 Singapore Singapore 268802 268802",+65 6274 9495,+65 6274 9497,louiseco@singnet.com.sg,www.louiseco.com.sg,MS NEO WEE FEH,Statutory/ External Audit,
348,LOW HOCK SIN & CO,"101 , Upper Cross St People's Park Centre People's Park Centre #07-01 #07-01 Singapore Singapore 058357 058357",+65 6222 7766,N/A,lowhs@singnet.com.sg,N/A,MR LOW HOCK SIN,Statutory/ External Audit,
